Subject,Start Date
Thomas Aquinas begins writing Summa Theologiae,01/18/1265
Edward I (future king) defeats and kills Simon de Montfort,05/09/1265
Dante Alighieri born in Florence,05/14/1265
"Battle of Evesham - Simon de Montfort killed, Henry III restored",08/04/1265
"Battle of Benevento - Charles of Anjou kills Manfred, takes Sicily",02/26/1266
Charles of Anjou becomes king of Sicily and Naples,12/16/1266
Baybars conquers Caesarea and Arsuf from Crusaders,12/22/1266
Baybars takes Jaffa and Beaufort from Crusaders,01/27/1267
Kublai Khan's campaign against Song China intensifies,02/27/1267
"Gregory X elected pope, calls Council of Lyon",12/31/1267
"Principality of Antioch, Crusader state, ends",01/03/1268
Baybars captures Antioch from Crusaders,05/18/1268
"Conradin, last Hohenstaufen, executed by Charles of Anjou",10/29/1268
Fall of Antioch to Egyptians,12/12/1268
Marco Polo's father and uncle first visit Kublai Khan,03/14/1269
Kublai Khan consolidates Yuan dynasty in China,05/04/1269
Louis IX prepares Eighth Crusade,09/06/1269
Goryeo dynasty repels Jurchen attacks,08/04/1270
Louis IX dies at Tunis on Eighth Crusade,08/25/1270
Kublai Khan proclaims Yuan dynasty in China,03/09/1271
Marco Polo begins journey to China,08/22/1271
Ninth Crusade begins under Edward I of England,10/20/1271
Yuan (Mongol) dynasty founded,11/01/1271
"Gregory X elected pope, works for church reunion",03/16/1272
"Henry III of England dies, Edward I becomes king",11/16/1272
Baybars captures Crusader fortress of Montfort,11/25/1272
Second Council of Lyon attempts reunion of Catholic and Orthodox churches,09/11/1273
"Rudolf of Habsburg elected Holy Roman Emperor, ends Great Interregnum",10/01/1273
Thomas Aquinas completes Summa Theologica,11/19/1273
Thomas Aquinas dies,03/07/1274
First Mongol invasion of Japan repelled,07/06/1274
Second Council of Lyon - temporary reunion of Catholic and Orthodox churches,10/17/1274
Roger Bacon imprisoned by Franciscans for unorthodox views,11/27/1274
Baybars defeats Mongols again at Battle of Abulustayn,01/18/1275
Edward I's Statute of Westminster reorganizes English law,02/03/1275
Marco Polo arrives at Kublai Khan's court,02/12/1275
"Rudolf of Habsburg defeats Ottokar II, seizes Austria",04/22/1276
Genoa and Venice at war over trade routes,11/07/1276
"Pope Innocent V, Adrian V, and John XXI all elected in single year",12/09/1276
Battle of Primrose Hill - Edward I defeats Llywelyn of Wales,01/13/1277
Archbishop of Canterbury condemns Aristotelian philosophy,02/11/1277
Mamluk Sultan Baybars dies,07/01/1277
"Ottokar II of Bohemia killed, Austria comes to Habsburgs",06/12/1278
Battle of Marchfeld - Rudolf of Habsburg defeats Ottokar II of Bohemia,08/26/1278
Charles of Anjou organizes crusade against Byzantines,09/14/1278
Last Song emperor drowns at Battle of Yamen,03/19/1279
Chola Dynasty ends in Southern India,08/10/1279
Kublai Khan completes conquest of Southern Song China,08/29/1279
Mamluk Sultan Qalawun begins reign,11/27/1279
Song dynasty ends after Battle of Yamen,12/02/1279
Pope Nicholas III elected,08/10/1280
"Albertus Magnus, Dominican scholar and teacher of Aquinas, dies",11/15/1280
Second Mongol invasion of Japan repelled,04/17/1281
Mongol fleet for invasion of Japan destroyed by typhoon (kamikaze),08/03/1281
Sicilian Vespers precursors - anti-French tension in Sicily grows,08/08/1281
Aragon acquires Sicily after Sicilian Vespers,02/09/1282
Sicilian Vespers - massacre of French in Sicily triggers rebellion,03/30/1282
Peter III of Aragon takes Sicily from Charles of Anjou,08/06/1282
"Llywelyn ap Gruffudd, last Prince of Wales, killed by English",12/11/1282
War of the Sicilian Vespers continues between Aragon and France,03/28/1283
Grand Duchy of Moscow founded,04/14/1283
Edward I completes conquest of Wales,08/25/1283
Kublai Khan fails to conquer Vietnam,11/06/1283
Philip IV the Fair becomes king of France (as child),02/10/1284
"Pisa defeated by Genoa at Battle of Meloria, Pisan power broken",08/06/1284
Battle of Les Formigues - Aragonese navy defeats French,11/02/1284
Charles of Salerno becomes Charles II of Naples,01/15/1285
Philip III of France dies on crusade against Aragon,11/18/1285
"Alexander III of Scotland dies falling from horse, succession crisis",03/18/1286
Qalawun captures Latakia from Crusaders,11/23/1286
Edward I attempts to settle Scottish succession,12/07/1286
Pope Nicholas IV becomes first Franciscan pope,03/14/1287
"Battle of Kili - Mongols defeat Delhi Sultanate, then withdraw",05/19/1287
Mongol invasion of Burma destroys Pagan kingdom,09/14/1287
Osman I founds Ottoman principality in Anatolia,01/01/1288
Kublai Khan's forces invade Java,05/30/1288
County of Tripoli falls to Mamluks,01/26/1289
Nicholas IV sends mission to China and Persia,01/29/1289
"County of Tripoli, last remaining Crusader county, destroyed",04/06/1289
"Qalawun captures Tripoli, Crusader County of Tripoli falls",04/26/1289
"Qalawun dies, al-Ashraf Khalil becomes Mamluk Sultan",02/11/1290
Edict of Expulsion - Jews expelled from England,02/25/1290
Edward I expels Jews from England,07/18/1290
"Margaret of Norway, heir to Scotland, dies",09/26/1290
Crusader Kingdom of Jerusalem ends,03/10/1291
Fall of Acre - last major Crusader city falls to Mamluks,05/18/1291
Acre falls to Mamluks - end of Kingdom of Jerusalem,07/07/1291
Swiss Confederation founded (traditional date),08/01/1291
"Swiss Confederation of Uri, Schwyz, and Unterwalden forms",11/19/1291
King Mangrai founds the Lanna kingdom,01/24/1292
Marco Polo visits Sumatra on voyage from China,05/28/1292
"Roger Bacon, English friar and scientist, dies",07/02/1292
John Balliol chosen king of Scotland by Edward I,11/17/1292
"Kublai Khan dies, Yuan dynasty continues under successors",11/22/1292
Mongol attempt to conquer Java fails,05/12/1293
Temur Khan becomes Yuan emperor of China,06/04/1293
Mongol invasion of Java,06/12/1293
"Kublai Khan dies, Yuan dynasty weakens",07/16/1293
Majapahit kingdom founded in eastern Java,11/10/1293
"Kublai Khan, founder of Yuan dynasty, dies",02/18/1294
Pope Celestine V resigns papacy after 5 months,12/13/1294
"Boniface VIII becomes pope, asserts extreme papal power",12/24/1294
Marco Polo returns to Venice from China,02/02/1295
Scotland and France form Auld Alliance against England,03/08/1295
Model Parliament - Edward I's parliament includes commoners,12/20/1295
Battle of Dunbar - Edward I defeats Scots,04/27/1296
First War of Scottish Independence begins,06/01/1296
Pope Boniface VIII issues Clericis laicos against taxation of clergy,09/20/1296
"Edward I invades Scotland, captures Stone of Destiny",11/07/1296
William Wallace emerges as Scottish resistance leader,01/13/1297
Philip IV of France and Edward I temporarily reconciled,03/26/1297
Battle of Stirling Bridge - William Wallace defeats English,09/11/1297
Movable type printing invented by Wang Zhen,05/07/1298
Marco Polo writes account of his travels while prisoner in Genoa,05/21/1298
Battle of Falkirk - Edward I defeats William Wallace,07/22/1298
Battle of Curzola - Genoa defeats Venice,09/07/1298
Osman I begins expansion of Ottoman state in Anatolia,01/08/1299
Mamluk-Mongol wars continue in Syria,01/24/1299
Ottoman Empire established under Osman I,03/17/1299
Ottoman Empire founded,07/08/1299
Battle of Wadi al-Khaznadar - Mongols temporarily take Damascus,12/22/1299
Pope Boniface VIII declares first Jubilee year,02/15/1300
Osman I expands Ottoman principality in northwest Anatolia,02/28/1300
Dante begins writing the Divine Comedy,03/13/1300
Old Swiss Confederacy founded,09/10/1300
Edward I's son crowned Prince of Wales,02/07/1301
Osman I defeats Byzantine force at Battle of Bapheus,07/27/1301
Philip IV of France clashes with Pope Boniface VIII,07/31/1301
Philip IV calls Estates General in France to oppose pope,04/28/1302
Battle of the Golden Spurs - Flemish defeat French cavalry,07/11/1302
Pope Boniface VIII issues Unam Sanctam claiming supreme papal authority,11/18/1302
Philip IV's agents capture Pope Boniface VIII at Anagni,09/07/1303
Boniface VIII dies shortly after capture by French agents,10/11/1303
University of Rome founded by Pope Boniface VIII,10/18/1303
Mongol Ilkhanate converts to Islam,04/10/1304
Petrarch (Francesco Petrarca) born,07/20/1304
Edward I defeats William Wallace's successor Simon Fraser,08/20/1304
Robert the Bruce emerges as new Scottish resistance leader,05/23/1305
"Clement V elected pope, papacy moves to Avignon",06/05/1305
William Wallace captured and executed by English,08/23/1305
Trials of the Knights Templar begin,10/27/1305
"Robert the Bruce kills rival John Comyn, becomes king of Scotland",02/10/1306
Robert Bruce crowned Robert I of Scotland,03/25/1306
Philip IV of France expels Jews and seizes their assets,10/14/1306
Edward I of England dies campaigning against Scotland,07/07/1307
Edward II becomes king of England,07/08/1307
Philip IV arrests Knights Templar in France,10/13/1307
Albrecht I of Habsburg assassinated,05/01/1308
Pope Clement V moves to Avignon in France,07/25/1308
Knights Templar imprisoned in France face charges of heresy,07/26/1308
Robert the Bruce raids into northern England,03/12/1309
Avignon papacy transfers seat of Popes to France,03/18/1309
"Papacy establishes in Avignon, beginning Avignon Papacy",09/01/1309
Teutonic Knights move headquarters to Marienburg (Malbork),09/01/1309
"Henry VII crosses Alps, Italian campaign begins",04/11/1310
Margraviate of Brandenburg passes to Wittelsbachs,10/03/1310
Robert the Bruce consolidates control of Scotland,04/20/1311
Catalan Company sacks Athens and seizes the Duchy of Athens,08/24/1311
Council of Vienne dissolves Knights Templar,10/14/1311
Knights Templar order formally abolished by Pope Clement V,03/22/1312
Mansa Musa I of Mali - wealthiest person in medieval history,07/08/1312
Battle of Pass of Brander - Robert Bruce defeats MacDougalls,10/14/1312
Giovanni Boccaccio born,07/14/1313
"Henry VII, Holy Roman Emperor, dies in Italy",08/24/1313
Philip V of France begins reign,10/30/1313
"Jacques de Molay, last Grand Master of Knights Templar, burned at stake",03/18/1314
Battle of Bannockburn - Robert Bruce defeats Edward II of England,06/24/1314
Philip IV the Fair of France dies,11/29/1314
Great Famine begins in Northern Europe,01/28/1315
Great Famine of 1315-1317 kills millions in Europe,10/04/1315
Battle of Morgarten - Swiss defeat Habsburgs,11/15/1315
Llewelyn Bren leads Welsh revolt against English rule,01/31/1316
"Great Famine peaks in Northern Europe, millions die",09/04/1316
John I of France born and dies within days,11/15/1316
Philip V of France issues Salic Law excluding women from throne,03/11/1317
Mansa Musa becomes Emperor of Mali,09/22/1317
Great Famine continues ravaging Europe,10/16/1317
Battle of Dysert O'Dea - Irish defeat Anglo-Normans,05/10/1318
Great Famine begins to ease in Northern Europe,06/10/1318
"Edward Bruce, brother of Robert I, killed in Ireland",10/14/1318
Sweden and Norway unite briefly under Magnus VII,04/21/1319
"Robert Bruce raids deep into England, near York",05/09/1319
Philip V of France dies without male heir,12/09/1319
Pastoreaux massacre Jews in France,03/08/1320
Declaration of Arbroath asserts Scottish independence,04/06/1320
Władysław I crowned King of Poland,07/26/1320
Charles IV becomes king of France,10/07/1320
Dante Alighieri completes Divine Comedy,03/16/1321
Dante Alighieri dies in Ravenna,09/14/1321
Andronikos II of Byzantine Empire deposed by grandson,12/30/1321
Edward II defeats Lancaster at Battle of Boroughbridge,03/16/1322
Thomas of Lancaster executed by Edward II,03/22/1322
Battle of Mühldorf - Ludwig of Bavaria defeats Frederick the Fair,09/28/1322
Byzantine civil war between Andronikos II and III intensifies,05/09/1323
Thomas Aquinas canonized as saint,07/18/1323
"Osman I, founder of Ottoman dynasty, dies",09/25/1323
"Marsilius of Padua writes Defensor Pacis, limiting papal power",03/02/1324
Mansa Musa of Mali makes famous hajj to Mecca with massive gold,06/15/1324
"Orhan becomes Ottoman leader, consolidates state",06/18/1324
Ibn Battuta begins his travels from Morocco,02/21/1325
Mexica found the city of Tenochtitlan,04/15/1325
Andronikos III defeats and deposes Andronikos II,07/14/1325
Reddy Kingdom founded,11/18/1325
"Ottoman Turks capture Bursa, make it their capital",04/06/1326
Orhan I of Ottomans takes Bursa from Byzantines,05/13/1326
"Isabella and Mortimer invade England, depose Edward II",10/23/1326
"Edward II deposed and murdered, Edward III becomes king of England",01/25/1327
Tver Uprising against the Golden Horde,03/13/1327
Petrarch begins composing his sonnets,09/07/1327
Ludwig IV (Bavaria) crowned Holy Roman Emperor,12/11/1327
Philip VI of France first Valois king,01/29/1328
"Charles IV of France dies without male heir, Valois dynasty begins",02/01/1328
Battle of Cassel - Philip VI defeats Flemish,08/23/1328
David II becomes king of Scotland at age 5,02/10/1329
Robert I (Bruce) of Scotland dies,06/07/1329
Ottoman Turks defeat Byzantines at Battle of Pelekanon,06/10/1329
Stefan Dusan begins rise to power in Serbia,04/09/1330
Battle of Velbuzd - Serbia defeats Bulgaria,07/28/1330
Battle of Posada - Wallachia achieves independence,08/06/1330
"Roger Mortimer executed, Edward III begins personal rule",10/19/1330
Stefan Dusan becomes king of Serbia,07/08/1331
Byzantine Empire loses control of key Asian cities to Ottomans,07/30/1331
Genko War deposes Kamakura Shogunate in Japan,11/15/1331
Ottoman Turks capture Nicaea from Byzantines,12/06/1331
Edward Balliol briefly becomes king of Scotland with English support,01/20/1332
Black Death first appears in Central Asia (approximate),04/14/1332
Andronikos III campaigns against Serbian expansion,09/07/1332
Casimir III (the Great) becomes king of Poland,03/28/1333
Hundred Years War tensions build over French throne,06/26/1333
Battle of Halidon Hill - Edward III defeats Scots decisively,07/19/1333
"Giotto di Bondone, Italian painter, dies",01/08/1334
Ottoman Turks take Nicomedia from Byzantines,08/16/1334
Pope Benedict XII begins Avignon palace construction,10/09/1334
Black Death spreading westward from Central Asia,02/07/1335
Ilkhanate of Persia disintegrates after last khan dies,04/18/1335
Edward III of England formally claims French throne,08/05/1335
Battle of Velliangiri - founding victory for Vijayanagara,02/26/1336
Timur (Tamerlane) born,04/09/1336
Muromachi period begins in Japan,04/24/1336
Vijayanagara Empire founded in South India,06/28/1336
Philip VI of France confiscates Gascony from Edward III,01/02/1337
Hundred Years' War begins,09/26/1337
Edward III formally claims title of King of France,10/21/1337
Declaration of Rhens - German princes reject papal authority over emperor,05/15/1338
"Edward III lands in France, begins military campaign",07/16/1338
Ottoman Turks capture Nicomedia (Izmit),11/03/1338
Edward III's alliance with Flanders strengthens,06/19/1339
Black Death reaches Crimea (possible early outbreak),07/20/1339
Stefan Dusan of Serbia begins expanding into Byzantine territory,08/05/1339
Battle of Sluys - English fleet destroys French fleet,06/24/1340
Battle of Rio Salado - Castile defeats Marinid invasion of Spain,10/30/1340
Petrarch crowned poet laureate in Rome,04/08/1341
Stefan Dusan of Serbia allies with John Kantakouzenos,05/04/1341
Byzantine civil war begins between John VI Kantakouzenos and John V,10/31/1341
Louis I (the Great) becomes king of Hungary,02/04/1342
Black Death raging in Central Asia and Crimea,03/11/1342
"Pope Clement VI elected, Avignon papacy continues",08/28/1342
"Jani Beg, Mongol khan, continues Black Death spread in his domains",02/02/1343
Reval (Tallinn) purchased by Teutonic Knights from Denmark,05/29/1343
England and France in truce during Hundred Years War,09/05/1343
Ottoman Turks gain control of much of western Anatolia,01/11/1344
Battle of Algeciras - Castile captures port from Marinids,01/22/1344
Crusade of Humbert II captures Smyrna briefly,07/24/1344
Stefan Dusan of Serbia proclaims himself Emperor of Serbs and Greeks,01/30/1345
Black Death advancing through Crimea and Constantinople region,11/25/1345
Edward III defeats Scots and Scottish alliance weakens,11/27/1345
Serbian Empire founded,03/14/1346
"Stefan Dusan crowned Emperor of Serbs, Greeks, Bulgars and Albanians",04/16/1346
Battle of Crecy - English longbow defeats French cavalry,05/18/1346
Black Death arrives in Constantinople,08/08/1346
Battle of Crecy - Edward III defeats Philip VI of France,08/26/1346
Black Death kills a third of Europe's population,01/06/1347
Cola di Rienzo establishes short-lived Roman republic,05/24/1347
Edward III captures Calais after year-long siege,08/03/1347
Black Death reaches Sicily and begins spreading across Europe,10/30/1347
"Black Death sweeps across France, Italy, and Spain",10/22/1348
"Jews blamed for Black Death, massacres across Europe",10/31/1348
Boccaccio begins writing Decameron amid Black Death,12/05/1348
"Black Death reaches England, Germany, and Poland",05/14/1349
Pope Clement VI issues bull condemning Flagellants and protecting Jews,07/08/1349
Flagellant movement sweeps Europe in response to plague,10/10/1349
Ayutthaya Kingdom established in Southeast Asia,05/10/1350
Black Death kills estimated 30-60% of European population,07/14/1350
"Philip VI of France dies, John II becomes king",08/22/1350
Pedro I becomes king of Castile,12/26/1350
Statute of Laborers - England tries to control wages after plague,01/10/1351
Praemunire statute in England limits papal jurisdiction,01/24/1351
Battle of the Thirty - combat between English and French knights,03/26/1351
Red Turban Rebellions break out in China,04/03/1351
Bengal Sultanate founded,05/14/1352
Black Death recedes but returns periodically,08/21/1352
Ottoman Turks establish first European foothold at Gallipoli,09/01/1352
Zurich joins Swiss Confederation,09/17/1352
Lan Xang kingdom established in Laos,04/16/1353
Bern joins Swiss Confederation,07/04/1353
Giovanni Boccaccio completes the Decameron,09/16/1353
Ottoman Turks cross into Thrace (Europe),10/11/1353
"Ottoman Turks permanently occupy Gallipoli, first foothold in Europe",01/25/1354
John II of France captured by English at Poitiers soon after Crecy,07/22/1354
Cola di Rienzo killed in Rome,10/08/1354
Charles IV crowned Holy Roman Emperor,04/05/1355
"Edward, the Black Prince, campaigns in France",11/11/1355
"Stefan Dusan, Serbian Emperor, dies",12/20/1355
Golden Bull of 1356 establishes Holy Roman Empire constitution,03/02/1356
French government in chaos after king captured,07/11/1356
Golden Bull of 1356 - Charles IV establishes electoral system for HRE,07/26/1356
Battle of Poitiers - Black Prince captures King John II of France,09/19/1356
Hanseatic League formally founded,10/27/1356
Ottoman Turks advance through Thrace,03/19/1357
Treaty of Bordeaux - France pays ransom for John II,04/10/1357
Scotland retains independence with Treaty of Berwick,04/29/1357
Etienne Marcel leads Paris revolt against dauphin Charles,11/16/1357
Jacquerie peasant revolt in France,05/28/1358
Etienne Marcel assassinated in Paris,07/31/1358
Ottoman Turks capture Adrianople (Edirne),09/23/1358
Timur (Tamerlane) begins military career in Central Asia,04/20/1359
Black Prince continues raids in France (chevauche),08/26/1359
Ottoman capital moves to Adrianople (Edirne) in Europe,10/05/1359
Ottoman Sultan Murad I begins reign,02/26/1360
Treaty of Bretigny - England gains large French territories,05/08/1360
John II of France released and returns to France,10/17/1360
Ottoman Turks under Murad I expand into Balkans,07/10/1361
John II of France returns to English captivity voluntarily,10/16/1361
Second outbreak of Black Death in Europe,10/24/1361
John II of France dies in English captivity,04/08/1362
English replaces French as official language in English law courts,05/31/1362
Charles V of France reorganizes royal government,04/09/1363
Ottoman Turks take Philippopolis (Plovdiv),10/26/1363
Timur begins unification of Central Asian tribes,11/23/1363
Battle of Lake Poyang - one of largest naval battles in history,12/22/1363
Charles V of France begins rebuilding French military,04/25/1364
Battle of Auray - English defeat French in Breton War of Succession,09/29/1364
Vijayanagara Empire expands across southern India,11/10/1364
Timur becomes ruler of Transoxiana,09/10/1365
Habsburg family cedes territories to Switzerland,09/30/1365
"Peter I of Cyprus leads crusade, sacks Alexandria",10/10/1365
Ottoman Turks make Adrianople their capital,03/02/1366
Battle of Nicopolis - Hungarian-Ottoman conflict,05/05/1366
Timur becomes co-ruler of Transoxiana with Husayn,10/25/1366
Battle of Najera - Black Prince helps Pedro I regain Castile,04/03/1367
Ottoman Turks defeat Serbian allies at Marica River,06/02/1367
Timur defeats rivals and begins independent rule,09/01/1367
Ottoman Turks advance into Bulgaria,01/03/1368
"Zhu Yuanzhang founds Ming dynasty, expels Mongols from China",01/23/1368
Hongwu Emperor begins Ming dynasty rule,04/15/1368
Ming dynasty founded,07/17/1368
End of Yuan dynasty and beginning of Ming dynasty in China,09/22/1368
Battle of Montiel - Henry II of Castile kills Pedro I,03/23/1369
Hundred Years War resumes after French alliance with Castile,04/03/1369
"Timur defeats Husayn, becomes sole ruler of Transoxiana",09/26/1369
Timur (Tamerlane) becomes undisputed ruler of Central Asia,05/10/1370
"Black Prince sacks Limoges, massacre of civilians",09/19/1370
Casimir III the Great of Poland dies,11/05/1370
Timurid Empire founded,11/16/1370
Ottoman Empire dominates Balkans after Maritsa victory,02/08/1371
Robert II becomes first Stewart king of Scotland,02/22/1371
Battle of Maritsa - Serbs defeated by Ottomans,07/03/1371
France recovers Poitou and other provinces from England,04/18/1372
Charles V of France consolidates military reforms,06/03/1372
Battle of La Rochelle - French and Castilian fleet defeats English,06/22/1372
John of Gaunt leads English military campaign in France,01/30/1373
"Anglo-Portuguese Alliance signed, world's oldest surviving alliance",06/16/1373
Catherine of Siena begins her letters to Pope Gregory XI,12/26/1373
Black Death outbreak in England,05/23/1374
Bertrand du Guesclin drives English from most of France,06/12/1374
Petrarch dies,07/19/1374
Vijayanagara Empire founded,06/22/1375
Truce of Bruges between England and France,09/28/1375
Mamluk Sultanate defeats Armenian Kingdom of Cilicia,10/08/1375
Giovanni Boccaccio dies,12/21/1375
Edward the Black Prince dies,06/08/1376
Good Parliament challenges Edward III's government,06/18/1376
Timur begins conquest of Persia and surrounding regions,07/03/1376
"Pope Gregory XI ends Avignon papacy, returns to Rome",01/17/1377
"Edward III of England dies, Richard II becomes king",06/21/1377
John Wycliffe condemned for his views on church reform,11/09/1377
"Pope Gregory XI dies, disputed election causes Great Schism",03/27/1378
Ciompi revolt in Florence - wool workers rise up,07/06/1378
Great Schism begins - Urban VI vs Clement VII,09/01/1378
Great Schism of the West splits Catholic Church,09/17/1378
"Battle of Chioggia - Genoa vs Venice, Venice wins",05/22/1379
"Great Schism: two popes - Urban VI in Rome, Clement VII in Avignon",11/10/1379
Timur begins campaigns in Persia,12/30/1379
Moscow emerges as dominant Russian principality,05/31/1380
Battle of Kulikovo - Russian principalities defeat Golden Horde,07/21/1380
Battle of Kulikovo - Dmitri Donskoi of Moscow defeats Mongol Golden Horde,09/08/1380
"Charles V of France dies, Charles VI becomes king",09/16/1380
"Wat Tyler killed, revolt suppressed",06/15/1381
Peasants' Revolt in England,07/27/1381
John Wycliffe dismissed from Oxford for criticizing Catholic Church,09/22/1381
"John Ball, radical priest, executed after Peasants Revolt",12/03/1381
John Wycliffe's followers (Lollards) active in England,01/12/1382
Mongol Khan Tokhtamysh raids and burns Moscow,08/06/1382
Charles VI of France defeats Flemish at Roosebeke,11/27/1382
Ottoman Turks besiege Constantinople for first time,05/16/1383
"Timur captures Herat, begins conquest of Afghanistan and Persia",06/04/1383
Portuguese succession crisis - John of Aviz defeats Castile,11/11/1383
"Philip the Bold becomes Duke of Burgundy, acquires Flanders",03/18/1384
"Timur campaigns in Persia, destroys many cities",12/16/1384
"John Wycliffe dies, his followers continue as Lollards",12/31/1384
Battle of Aljubarrota - Portugal defeats Castile,04/07/1385
Union of Krewo between Poland and Lithuania,05/26/1385
John I of Aviz becomes first Aviz king of Portugal,08/09/1385
Battle of Savra - Ottomans defeat Albanians and Serbs,09/10/1385
"Jadwiga becomes queen of Poland, marries Jogaila of Lithuania",02/15/1386
"Jogaila converts to Christianity, unites Poland-Lithuania",06/06/1386
Battle of Sempach - Swiss defeat Habsburgs,07/09/1386
Longbow in widespread use,10/24/1386
Geoffrey Chaucer begins Canterbury Tales,02/12/1387
Timur defeats Golden Horde army,03/23/1387
Ottoman Turks capture Thessaloniki from Byzantines,05/20/1387
"Timur defeats army of Tokhtamysh, Golden Horde weakens",01/05/1388
Battle of Nafels - Swiss repel Habsburg invasion,04/09/1388
Battle of Otterburn (Chevy Chase) - Scots raid England,08/05/1388
Battle of Kosovo Polje - Ottomans defeat Serbian coalition,06/15/1389
"Sultan Murad I killed at Kosovo, Bayezid I takes Ottoman throne",06/15/1389
Battle of Kosovo between Serbs and Ottomans,07/12/1389
Serbian resistance effectively ends after Kosovo,12/21/1389
Byzantine Emperor John V accepts Ottoman suzerainty,05/02/1390
Kongo Empire founded,06/21/1390
Timur campaigns extensively in Persia and Mesopotamia,08/12/1390
"John I of Castile dies, Henry III becomes king",11/16/1390
Manuel II becomes Byzantine co-emperor,02/02/1391
Anti-Jewish massacres sweep across Spain,06/20/1391
Bayezid I begins Ottoman blockade of Constantinople,11/24/1391
Joseon Dynasty established in Korea,01/15/1392
Japan reunified under Ashikaga shogunate ends period of Northern-Southern courts,01/22/1392
Timur captures Tabriz and moves against Baghdad,09/06/1392
Joseon dynasty founded,12/28/1392
Bulgaria absorbed into Ottoman Empire,04/17/1393
"Tarnovo, Bulgarian capital, falls to Ottomans",11/06/1393
Timur destroys Baghdad and massacres its inhabitants,11/13/1393
Ottoman blockade of Constantinople tightens,02/05/1394
Western Schism - both popes refuse to abdicate,12/03/1394
Timur defeats Tokhtamysh at Battle of the Terek River,04/22/1395
Battle of Rovine - Wallachians defeat Ottomans,05/17/1395
"Timur sacks Sarai, capital of Golden Horde",06/21/1395
Second Bulgarian Empire ends,02/16/1396
Battle of Nicopolis - Ottoman Empire defeats Crusaders,02/18/1396
Manuel II tours Europe seeking help against Ottomans,04/15/1396
"Crusade of Nicopolis ends in disaster, Bayezid captures thousands",04/21/1396
"Kalmar Union uniting Norway, Sweden, and Denmark established",04/08/1397
"Timur invades India, approaches Delhi",05/07/1397
Richard II becomes increasingly tyrannical in England,07/15/1397
Kalmar Union founded,12/31/1397
Timur (Tamerlane) sacks Delhi,02/14/1398
Richard II exiles Henry Bolingbroke from England,08/06/1398
Timur massacres thousands in India during campaign,09/17/1398
"Timur sacks Delhi, Delhi Sultanate weakened",12/17/1398
Timur returns from India campaign loaded with plunder,01/21/1399
Richard II deposed and later murdered in Tower,08/08/1399
"Henry Bolingbroke deposes Richard II, becomes Henry IV",09/30/1399
Richard II of England dies in captivity,02/14/1400
Timur defeats Mamluk Egypt and sacks Aleppo and Damascus,03/12/1400
Owain Glyndwr leads Welsh rebellion against English rule,09/16/1400
"Timur sacks Baghdad again, builds tower of skulls",04/18/1401
Burgundy faction in France gains power under John the Fearless,05/02/1401
Ottoman-Timurid conflict grows as Timur advances west,09/07/1401
"Ottoman Empire nearly destroyed, civil war among sons of Bayezid",07/19/1402
Timur (Tamerlane) defeats Ottoman Sultan Bayezid at Ankara,07/28/1402
Byzantine Empire gains respite from Ottoman pressure,12/15/1402
Bayezid I dies in Timurid captivity,03/08/1403
Ottoman civil war among sons of Bayezid I,07/11/1403
Battle of Shrewsbury - Henry IV defeats Percy rebels in England,07/21/1403
Burgundian-Armagnac civil war begins in France,01/18/1404
Timur prepares vast army for conquest of China,02/04/1404
"Philip the Bold, Duke of Burgundy, dies",04/27/1404
Timur (Tamerlane) dies before reaching China,02/18/1405
Timurid Empire begins to fragment,08/11/1405
Zheng He begins first of seven naval expeditions from China,10/14/1405
"Florence purchases Pisa, grows as dominant Tuscan city",02/02/1406
Ottoman civil war continues between Suleyman and Musa Celebi,07/28/1406
James I of Scotland captured by English pirates,08/25/1406
Burgundian-Armagnac conflict intensifies in France,06/10/1407
"John the Fearless, Duke of Burgundy, assassinates Louis of Orleans",11/23/1407
Mehmed I consolidates Ottoman territory in Anatolia,11/30/1407
Council of Pisa attempts to end Great Schism,01/17/1408
Mehmed I defeats brothers in Ottoman civil war,07/30/1408
Lollard heresy spreading in England,10/01/1408
Three claimants simultaneously claim papacy,06/14/1409
"Council of Pisa creates third pope, deepening Great Schism",09/29/1409
Teutonic Knights at war with Poland-Lithuania,11/16/1409
Charles VI of France increasingly mentally ill,01/01/1410
Mehmed I unites Ottoman Empire after civil war,01/30/1410
Battle of Grunwald - Poland-Lithuania defeats Teutonic Knights,07/15/1410
"Peace of Thorn ends Polish-Teutonic war, Teutonic Knights weaken",02/01/1411
John the Fearless of Burgundy allies with English,08/24/1411
Council of Constance called to end Great Schism,10/18/1411
Joan of Arc born in Domremy,01/06/1412
Sigismund of Hungary becomes Holy Roman Emperor,04/24/1412
Burgundians ally with English against Armagnacs in France,07/15/1412
Henry V becomes king of England,03/21/1413
Mehmed I consolidates control of entire Ottoman Empire,04/06/1413
Council of Constance begins to resolve Great Schism,11/16/1413
Henry V prepares invasion of France,01/25/1414
Council of Constance opens to resolve Great Schism,11/05/1414
John Hus (Jan Hus) summoned to Council of Constance,12/16/1414
Portuguese begin exploration of African coast,04/10/1415
Jan Hus burned at stake at Council of Constance,07/06/1415
"Portugal captures Ceuta from Morocco, start of Age of Discovery",08/21/1415
Portuguese Empire begins,08/27/1415
Battle of Agincourt - English defeat French,10/25/1415
Jerome of Prague burned at stake after recanting recantation,05/30/1416
